מחלקה,ברקוד,פריט,ספק,01/09/2025,עלות,מחיר מכירה,כמות במלאי,כמות מינימלי,כמות מקסימלי,"סה""כ עלות","סה""כ מכירה"
חד פעמי,7.29011E+12,25 לפתניות 9 OZ  -קנה סוכר,אלי אקסטרה ,01/09/2025,4.13,10,9,,,37.17,90
חד פעמי,7.29011E+12,25 צלחת עגולה גודל  7  - קנה סוכר,אלי אקסטרה ,01/09/2025,3.66,8,12,,,43.92,96
חד פעמי,7.29011E+11,50 כוסות נייר גודל 8oz,אלי אקסטרה ,01/09/2025,3.66,1,80,,,292.8,80
חד פעמי,7.29124E+12,בליסטר 5 סוללות cr1225 ליטיום,"ברייטקום בע""מ ",01/09/2025,9.56,18,10,0,0,95.6,180
חד פעמי,7.29002E+12,גביע לרוטב עם מכסה 1oz,"דנטס אריזות בע""מ",01/09/2025,3.66,8,14,0,0,51.24,112
מוצרי נקיון,7.29012E+12,כרית יפנית,"פעמית תבניכל שיווק בע""מ ",01/09/2025,3.3,8,10,0,0,33,80
חד פעמי,7.29002E+12,להבונים 50 יח,"פעמית תבניכל שיווק בע""מ ",01/09/2025,5.31,9,5,0,0,26.55,45
חד פעמי,7.29002E+12,לפתניה 20 יחי happy,"ענבוסי בכר בע""מ ",01/09/2025,0.71,2,7443,0,0,5284.53,14886
חד פעמי,7.29011E+12,מגש דקל אובלי ענק 31/55 סמ,אלי אקסטרה ,01/09/2025,4.25,10,12,,,51,120
אפיה ומטבח,7.29012E+12,מיכל אחסון ל 10 ביצים,"פעמית תבניכל שיווק בע""מ ",01/09/2025,3.07,6,41,0,0,125.87,246
אפיה ומטבח,7.29002E+12,מיכל איחסון סגור 4 צדדים,"דנטס אריזות בע""מ",01/09/2025,7.67,13,19,0,0,145.73,247
גינה,7.29002E+12,מלכודת זבובים 10 יחידות,"דנטס אריזות בע""מ",01/09/2025,15.22,22,45,0,0,684.9,990
קוסמטיקה,7.29011E+12,מסכה לפנים חד פעמי 50 יח,שמחה זה אנחנו,01/09/2025,7.5,15,75,0,0,562.5,1125
לבית,7.29011E+12,מתלה כביסה אלומיניום,"י.סולומון חוויה שבכלי בע""מ",01/09/2025,48.71,70,11,0,0,535.81,770
אפיה ומטבח,7.29002E+12,נייר אפייה חום 50 יחידות,"דוגנס בע""מ ",01/09/2025,4.84,10,11,0,0,53.24,110
אפיה ומטבח,1,נייר פרגמנט 30/40 חום (1000 יח'),אלי אקסטרה ,01/09/2025,82.6,1,2,,,165.2,2
חד פעמי,8.6975E+12,נייר צלופן 50 על 70,"אליס אריזות מתנה בע""מ ",01/09/2025,11.89,22,6,0,0,71.34,132
לבית,7.29001E+13,סט ארגז לחם תה קפה סוכר, ספק כללי,01/09/2025,69.62,110,1,0,0,69.62,110
לבית,7.29012E+12,סט כוסות צבוני לשתיה חמה,"י.סולומון חוויה שבכלי בע""מ",01/09/2025,0,35,8,0,0,0,280
לבית,7.29002E+12,פח 50 ליטר שחור שובך,"מ.א ייצור ויבוא מטליות בע""מ",01/09/2025,31.8,60,2,0,0,63.6,120
חד פעמי,7.29E+12,צלחות 1 קג הנמל,"הנמל אריזות ושיווק 1984 בע""מ ",01/09/2025,15.93,21,6,0,0,95.58,126
חד פעמי,7.29011E+12,צלחת מרובעת 20 סמ 8- דקל,אלי אקסטרה ,01/09/2025,6.14,12,38,,,233.32,456
לבית,7.29002E+12,קוטל תיקן,"דנטס אריזות בע""מ",01/09/2025,22.42,30,12,0,0,269.04,360
לבית,7.29002E+12,קופסת איכסון מלבנית 27oz,"דנטס אריזות בע""מ",01/09/2025,7.67,13,3,0,0,23.01,39
לבית,7.29011E+12,קנקן שתיה פסים עם מכסה,אלי אקסטרה ,01/09/2025,10.5,18,2,,,21,36
חד פעמי,7.29002E+12,קסרול 20 יחי happy,"ענבוסי בכר בע""מ ",01/09/2025,0.83,2,6388,0,0,5302.04,12776
חד פעמי,7.29002E+12,קש שתייה שחור 400,"דנטס אריזות בע""מ",01/09/2025,6.49,15,311,0,0,2018.39,4665
חד פעמי,7.29002E+12,תבניות אלומיניום בינוניות 3 יחידות,"דנטס אריזות בע""מ",01/09/2025,5.9,11,21,0,0,123.9,231
חד פעמי,7.29002E+12,תבניות אלומיניום ענקיות 2 יחידות,"דנטס אריזות בע""מ",01/09/2025,5.9,11,12,0,0,70.8,132
חד פעמי,7.29002E+12,תבנית אלומיניום אינגליש 5 יחידות,"דנטס אריזות בע""מ",01/09/2025,5.9,11,14,0,0,82.6,154
חד פעמי,7.29011E+12,10 כפות זהב עם לבן קלאס,אלי אקסטרה ,01/09/2025,4.13,7,24,,,99.12,168
חד פעמי,7.29011E+12,10 כפיות זהב עם לבן קלאס,אלי אקסטרה ,01/09/2025,3.42,7,41,,,140.22,287
חד פעמי,7.29011E+12,10 מזלגות זהב עם לבן קלאס,אלי אקסטרה ,01/09/2025,4.13,7,1,,,4.13,7
חד פעמי,7.29011E+12,10 סכינים זהב עם לבן קלאס,אלי אקסטרה ,01/09/2025,4.13,7,29,,,119.77,203
חד פעמי,7.29011E+12,10 צלחות מרובעת 10' - 25 סמ -דקל,אלי אקסטרה ,01/09/2025,6.96,13,30,,,208.8,390
חד פעמי,7.29011E+12,20 צלחת מרובעת גודל  10 -קנה סוכר,אלי אקסטרה ,01/09/2025,10.5,18,29,,,304.5,522
חד פעמי,7.29011E+12,20 צלחת מרובעת גודל 8 -קנה סוכר,אלי אקסטרה ,26/11/2025,7.67,12,30,,,230.1,360
חד פעמי,7.29011E+12,5 יח מגש אובלי סמול 30/19 סמ -דקל,אלי אקסטרה ,01/09/2025,6.49,10,13,,,84.37,130
מתנות,8421830046,בובת TY באונסר פנדה,שמחה זה אנחנו,01/09/2025,19.94,29,3,,,59.82,87
חד פעמי,7.29002E+12,גביע מרגריטה גדול,אלי אקסטרה ,01/09/2025,4.6,12,6,,,27.6,72
חד פעמי,7.29012E+12,גליל מפה מובלטת ורוד 15 מ' 1.4 ר,"נ.ש.מ יבוא שיווק והפצה בע""מ ",14/12/2025,18.76,30,20,0,0,375.2,600
חד פעמי,7.29012E+12,גליל מפה מובלטת כסף 15 מ' 1.4 ר',"נ.ש.מ יבוא שיווק והפצה בע""מ ",14/12/2025,18.76,30,7,0,0,131.32,210
מתנות,6.92354E+12,חב' 10 יחי' סרט משיכה מיטאלי אדום,"דקל יבוא ויצור דברי נוי בע""מ ",01/09/2025,4,8,10,,,40,80
מתנות,6.92354E+12,חב' 10 יחי' סרט משיכה מנוקד זהב ורוד,"דקל יבוא ויצור דברי נוי בע""מ ",01/09/2025,4,8,4,,,16,32
חד פעמי,7.29001E+12,כוס 10 OZ מרובע שקוף 20 יחי',"מחטף יבוא ושיווק בע""מ ",01/09/2025,6.73,12,34,0,0,228.82,408
חד פעמי,7.29002E+12,כוס 12 oz עגולה שקופה 5 יחי',"מחטף יבוא ושיווק בע""מ ",01/09/2025,7.91,14,31,0,0,245.21,434
