name,promo,image
מגבונים לחים אוונט,מבצע 4 ב-10,images/wipes.jpg
כוסות שתייה חמה 50 יח,מבצע 3 ב-10,images/hot_cups.jpg
סנו סושי נייר מגבת,מבצע 2 ב-22,images/towel.jpg
כוסות שתייה קרה 100 יח,מבצע 3 ב-12,images/cold_cups.jpg
מטליות מיקרופייבר 5 יח,מבצע 2 ב-10,images/small_cloths.jpg
מטליות מיקרופייבר לרצפה 3 יח,מבצע 2 ב-20,images/floor_cloths.jpg
עוגיות סנדוויץ,מבצע 2 ב-30,images/cookies.jpg
נייר אפייה,מבצע 2 ב-17,images/bakingpaper.jpg
מרקייה קסרול אובלי 20 יח,מבצע 8 ב-10,images/oval_bowl.jpg
מרקייה קסרול עגולה 20 יח,מבצע 8 ב-10,images/round_bowl.jpg
שקיות אשפה,מבצע 3 ב-10,images/bags.jpg
תבנית אלומיניום,מבצע 7 ב 10,images/tavnit01.jpg
תבנית אלומיניום,מבצע 5 ב 10,images/tavnit02.jpg
תבנית אלומיניום,מבצע 5 ב 10,images/tavnit03.jpg
תבנית אלומיניום,מבצע 3 ב 10,images/tavnit04.jpg
תבנית אלומיניום,מבצע 20 ב 10,images/tavnit05.jpg
תבנית אלומיניום,מבצע 20 ב 10,images/tavnit06.jpg
תבנית אלומיניום,מבצע 20 ב 10,images/tavnit07.jpg
תבנית אלומיניום,מבצע 20 ב 10,images/tavnit08.jpg
תבנית אלומיניום,מבצע 15 ב 10,images/tavnit09.jpg
תבנית אלומיניום,מבצע 15 ב 10,images/tavnit10.jpg
תבנית אלומיניום,מבצע 15 ב 10,images/tavnit11.jpg
תבנית אלומיניום,מבצע 25 ב 10,images/tavnit12.jpg
תבנית אלומיניום,מבצע 4 ב 10,images/tavnit13.jpg
תבנית אלומיניום,מבצע 4 ב 10,images/tavnit14.jpg
תבנית אלומיניום,מבצע 15 ב 10,images/tavnit15.jpg
תבנית אלומיניום,מבצע 15 ב 10,images/tavnit16.jpg
כביסכל פרוביוטי,מבצע 2 ב 75,images/wash.jpg
כביסכל מבשם פרוביוטי,מבצע 2 ב 40,images/wash1.jpg
סט צלחות אבן שיש,מבצע 2 ב 30,images/plate.jpg
סט צלחות פנינה קטנה,מבצע 2 ב 30,images/plate1.jpg
צלחות גדולות פאלאס,מבצע 2 ב 40,images/plate2.jpg
מפת אל בד,מבצע 3 ב 10,images/table_cloth.jpg
